t,rssi,zone,A,B,open
0.6999999999970896,-81,далеко,0,1,0
0.978000000002794,-81,далеко,0,2,0
1.3619999999937136,-81,далеко,0,3,0
1.6379999999917345,-76,далеко,0,4,0
1.9170000000012806,-76,далеко,0,5,0
2.1849999999976717,-78,далеко,0,6,0
2.595000000001164,-87,далеко,0,7,0
2.889999999999418,-87,далеко,0,8,0
3.213999999992666,-87,далеко,0,9,0
3.4899999999906868,-82,далеко,0,10,0
3.8329999999987194,-82,далеко,0,11,0
4.084000000002561,-82,далеко,0,12,0
4.368999999991502,-82,далеко,0,13,0
4.629999999990105,-82,далеко,0,14,0
4.8989999999903375,-82,далеко,0,15,0
5.180999999996857,-82,далеко,0,16,0
5.448000000003958,-82,далеко,0,17,0
5.730999999999767,-75,между,0,17,0
6.023000000001048,-75,между,0,17,0
6.285999999992782,-80,далеко,0,18,0
6.639999999999418,-80,далеко,0,19,0
6.945999999996275,-81,далеко,0,20,0
7.360000000000582,-81,далеко,0,21,0
7.622999999992317,-81,далеко,0,22,0
7.952999999994063,-78,далеко,0,23,0
8.23399999999674,-78,далеко,0,24,0
8.51699999999255,-78,далеко,0,25,0
9.08299999999872,-78,далеко,0,26,0
9.385999999998603,-78,далеко,0,27,0
9.718999999997322,-78,далеко,0,28,0
10.012000000002445,-78,далеко,0,29,0
10.563999999998487,-76,далеко,0,30,0
10.862999999997555,-76,далеко,0,31,0
11.190000000002328,-85,далеко,0,32,0
11.44199999999546,-85,далеко,0,33,0
11.747999999992317,-82,далеко,0,34,0
12.010999999998603,-82,далеко,0,35,0
12.34100000000035,-82,далеко,0,36,0
12.644000000000233,-81,далеко,0,37,0
12.89999999999418,-81,далеко,0,38,0
13.152000000001863,-81,далеко,0,39,0
13.440000000002328,-92,далеко,0,40,0
13.724999999991269,-92,далеко,0,41,0
14.006999999997788,-92,далеко,0,42,0
14.28399999999965,-92,далеко,0,43,0
14.627999999996973,-92,далеко,0,44,0
14.91799999999057,-88,далеко,0,45,0
15.222999999998137,-78,далеко,0,46,0
15.493000000002212,-78,далеко,0,47,0
15.754000000000815,-78,далеко,0,48,0
16.01600000000326,-80,далеко,0,49,0
16.338999999992666,-80,далеко,0,50,0
16.714999999996508,-80,далеко,0,51,0
17.093999999997322,-80,далеко,0,52,0
17.440999999991618,-80,далеко,0,53,0
17.703999999997905,-87,далеко,0,54,0
17.963000000003376,-87,далеко,0,55,0
18.264999999999418,-87,далеко,0,56,0
18.520000000004075,-87,далеко,0,57,0
18.819999999992433,-87,далеко,0,58,0
19.114000000001397,-85,далеко,0,59,0
19.39999999999418,-85,далеко,0,60,0
19.656000000002678,-90,далеко,0,61,0
19.986000000004424,-90,далеко,0,62,0
20.255999999993946,-82,далеко,0,63,0
20.639999999999418,-82,далеко,0,64,0
20.895999999993364,-82,далеко,0,65,0
21.198999999993248,-82,далеко,0,66,0
21.569999999992433,-82,далеко,0,67,0
21.870999999999185,-82,далеко,0,68,0
22.13300000000163,-76,далеко,0,69,0
22.39199999999255,-89,далеко,0,70,0
22.64299999999639,-73,между,0,70,0
22.960999999995693,-73,между,0,70,0
23.228000000002794,-73,между,0,70,0
23.478999999992084,-77,далеко,0,71,0
23.823000000003958,-77,далеко,0,72,0
24.198999999993248,-77,далеко,0,73,0
24.54899999999907,-77,далеко,0,74,0
24.815999999991618,-77,далеко,0,75,0
25.072000000000116,-77,далеко,0,76,0
25.34900000000198,-82,далеко,0,77,0
25.620999999999185,-86,далеко,0,78,0
25.888999999995576,-70,между,0,78,0
26.145999999993364,-70,между,0,78,0
26.395000000004075,-70,между,0,78,0
26.65099999999802,-70,между,0,78,0
26.937999999994645,-70,между,0,78,0
27.203999999997905,-70,между,0,78,0
27.486999999993714,-70,между,0,78,0
27.811000000001513,-70,между,0,78,0
28.069000000003143,-70,между,0,78,0
28.327999999994063,-70,между,0,78,0
28.585999999995693,-70,между,0,78,0
28.88499999999476,-83,далеко,0,79,0
29.137000000002445,-82,далеко,0,80,0
29.39199999999255,-82,далеко,0,81,0
29.65099999999802,-84,далеко,0,82,0
